iter	Passed	Remaining
0	157	156921
1	158	79003
2	159	52908
3	160	39843
4	160	32006
5	161	26778
6	162	23049
7	163	20250
8	164	18071
9	164	16325
10	165	14904
11	166	13718
12	167	12711
13	168	11848
14	169	11100
15	169	10447
16	170	9875
17	171	9361
18	172	8901
19	173	8489
20	174	8116
21	174	7777
22	175	7465
23	176	7181
24	177	6918
25	178	6675
26	179	6451
27	179	6244
28	180	6050
29	181	5868
30	182	5697
31	183	5539
32	184	5395
33	184	5255
34	185	5122
35	186	4997
36	187	4878
37	188	4767
38	189	4660
39	189	4557
40	190	4460
41	191	4368
42	192	4279
43	193	4194
44	193	4113
45	194	4038
46	195	3964
47	196	3893
48	197	3825
49	197	3759
50	198	3699
51	199	3641
52	200	3585
53	201	3530
54	202	3476
55	203	3425
56	204	3378
57	205	3331
58	206	3285
59	206	3240
60	207	3197
61	208	3156
62	209	3117
63	210	3078
64	211	3041
65	212	3006
66	213	2970
67	213	2929
68	214	2895
69	215	2863
70	216	2831
71	217	2799
72	218	2768
73	218	2738
74	219	2708
75	220	2679
76	221	2651
77	222	2624
78	222	2597
79	223	2571
80	224	2546
81	225	2521
82	226	2498
83	226	2475
84	227	2449
85	228	2426
86	228	2401
87	229	2380
88	230	2359
89	231	2338
90	232	2317
91	232	2297
92	233	2278
93	234	2258
94	235	2240
95	235	2221
96	236	2204
97	237	2187
98	238	2170
99	239	2153
100	240	2137
101	240	2118
102	241	2102
103	242	2086
104	242	2070
105	243	2055
106	244	2040
107	245	2025
108	246	2011
109	246	1997
110	247	1983
111	248	1969
112	249	1956
113	249	1942
114	250	1929
115	251	1915
116	252	1903
117	253	1892
118	253	1879
119	254	1867
120	255	1855
121	256	1843
122	256	1829
123	257	1817
124	258	1806
125	258	1794
126	259	1783
127	259	1770
128	260	1760
129	261	1749
130	262	1739
131	262	1728
132	263	1718
133	264	1708
134	265	1698
135	265	1688
136	266	1678
137	267	1668
138	267	1658
139	268	1649
140	269	1640
141	269	1630
142	270	1621
143	271	1612
144	271	1603
145	272	1594
146	273	1585
147	273	1577
148	274	1568
149	275	1560
150	276	1551
151	276	1543
152	277	1535
153	278	1527
154	278	1519
155	279	1511
156	280	1504
157	280	1497
158	281	1489
159	282	1482
160	283	1474
161	283	1467
162	284	1460
163	285	1453
164	285	1446
165	286	1438
166	287	1431
167	287	1424
168	288	1417
169	289	1411
170	289	1404
171	290	1397
172	290	1390
173	291	1384
174	292	1377
175	292	1371
176	293	1364
177	294	1358
178	294	1352
179	295	1346
180	295	1339
181	296	1332
182	297	1326
183	297	1320
184	298	1314
185	299	1308
186	299	1302
187	300	1297
188	300	1291
189	301	1285
190	302	1279
191	302	1273
192	303	1268
193	303	1262
194	304	1256
195	305	1251
196	305	1245
197	306	1240
198	306	1235
199	307	1229
200	308	1224
201	308	1219
202	309	1214
203	309	1209
204	310	1203
205	310	1198
206	311	1193
207	312	1188
208	312	1183
209	313	1178
210	313	1173
211	314	1168
212	315	1163
213	315	1159
214	316	1154
215	316	1149
216	317	1144
217	317	1140
218	318	1135
219	318	1130
220	319	1126
221	320	1121
222	320	1117
223	321	1112
224	321	1108
225	322	1104
226	323	1099
227	323	1095
228	324	1091
229	324	1086
230	325	1082
231	325	1078
232	326	1074
233	326	1070
234	327	1066
235	328	1061
236	328	1057
237	329	1053
238	329	1049
239	330	1045
240	330	1041
241	331	1037
242	331	1033
243	332	1030
244	332	1026
245	333	1022
246	334	1018
247	334	1014
248	335	1010
249	335	1007
250	336	1003
251	336	999
252	337	996
253	337	992
254	338	988
255	339	985
256	339	981
257	340	978
258	340	974
259	341	970
260	341	967
261	342	964
262	342	960
263	343	957
264	343	953
265	344	950
266	344	947
267	345	943
268	346	940
269	346	936
270	347	933
271	347	930
272	348	927
273	348	923
274	349	920
275	349	917
276	350	914
277	350	911
278	351	908
279	352	905
280	352	902
281	353	899
282	353	895
283	354	892
284	354	889
285	355	886
286	355	883
287	356	880
288	356	877
289	357	874
290	357	872
291	358	869
292	358	866
293	359	863
294	360	860
295	360	857
296	361	854
297	361	851
298	362	848
299	362	846
300	363	843
301	363	840
302	364	837
303	364	834
304	365	832
305	365	829
306	366	826
307	366	823
308	367	821
309	367	818
310	368	815
311	368	813
312	369	810
313	369	807
314	370	805
315	370	802
316	371	799
317	371	797
318	372	794
319	372	792
320	373	789
321	373	787
322	374	784
323	374	781
324	375	779
325	375	776
326	376	775
327	377	773
328	378	771
329	378	769
330	379	767
331	380	764
332	380	762
333	381	761
334	382	759
335	382	756
336	383	754
337	384	752
338	384	749
339	385	747
340	385	745
341	386	742
342	386	740
343	387	738
344	387	736
345	388	734
346	389	732
347	389	729
348	390	728
349	390	726
350	391	723
351	392	721
352	392	719
353	393	717
354	393	715
355	394	713
356	394	711
357	395	708
358	395	706
359	396	704
360	396	702
361	397	700
362	398	698
363	398	696
364	399	694
365	399	692
366	400	690
367	400	688
368	401	686
369	402	685
370	403	683
371	403	681
372	404	679
373	405	678
374	405	676
375	406	674
376	406	672
377	407	670
378	407	667
379	408	665
380	408	663
381	409	661
382	409	660
383	410	658
384	410	656
385	411	654
386	411	652
387	412	650
388	412	648
389	413	646
390	413	644
391	414	642
392	414	640
393	415	638
394	415	636
395	416	635
396	416	633
397	417	631
398	418	630
399	418	628
400	419	626
401	419	624
402	420	622
403	421	621
404	421	619
405	422	617
406	422	615
407	423	614
408	423	612
409	424	610
410	424	608
411	425	606
412	425	605
413	426	603
414	426	601
415	427	600
416	428	598
417	428	596
418	429	595
419	429	593
420	430	591
421	430	590
422	432	589
423	432	587
424	433	586
425	433	584
426	434	582
427	434	581
428	435	579
429	435	577
430	436	575
431	436	574
432	437	572
433	437	570
434	438	569
435	438	567
436	439	565
437	439	564
438	440	562
439	440	561
440	441	559
441	441	557
442	442	556
443	442	554
444	443	552
445	443	551
446	444	549
447	444	548
448	445	546
449	446	545
450	446	544
451	447	542
452	448	541
453	448	539
454	449	537
455	449	536
456	450	534
457	450	533
458	451	531
459	451	530
460	452	528
461	452	527
462	453	525
463	453	524
464	454	522
465	454	521
466	455	519
467	455	518
468	456	516
469	456	514
470	457	513
471	457	511
472	458	510
473	458	509
474	459	507
475	459	506
476	460	504
477	461	503
478	462	502
479	462	501
480	463	499
481	463	498
482	464	497
483	464	495
484	465	494
485	465	492
486	466	491
487	466	489
488	467	488
489	467	486
490	468	485
491	468	484
492	469	482
493	469	481
494	470	479
495	470	478
496	471	477
497	471	475
498	472	474
499	472	472
500	473	471
501	473	470
502	474	468
503	475	467
504	475	466
505	476	464
506	476	463
507	477	462
508	477	460
509	478	459
510	478	458
511	479	456
512	479	455
513	480	454
514	480	452
515	481	451
516	481	450
517	482	448
518	482	447
519	483	446
520	483	444
521	484	443
522	484	442
523	485	440
524	485	439
525	486	438
526	487	437
527	487	435
528	488	434
529	488	433
530	489	431
531	489	430
532	490	429
533	490	428
534	491	427
535	491	425
536	492	424
537	492	423
538	493	422
539	493	420
540	494	419
541	494	418
542	495	416
543	495	415
544	496	414
545	496	413
546	497	411
547	497	410
548	498	409
549	498	408
550	499	406
551	499	405
552	500	404
553	501	403
554	501	402
555	502	401
556	502	399
557	503	398
558	503	397
559	504	396
560	504	395
561	505	393
562	506	392
563	506	391
564	507	390
565	507	389
566	508	388
567	508	386
568	509	385
569	509	384
570	510	383
571	510	382
572	511	381
573	511	379
574	512	378
575	512	377
576	513	376
577	513	375
578	514	374
579	515	373
580	515	371
581	516	370
582	516	369
583	517	368
584	518	367
585	518	366
586	519	365
587	519	364
588	520	363
589	521	362
590	521	361
591	522	359
592	522	358
593	523	357
594	523	356
595	524	355
596	524	354
597	525	353
598	525	352
599	526	350
600	526	349
601	527	348
602	528	347
603	528	346
604	529	345
605	529	344
606	530	343
607	530	342
608	531	340
609	531	339
610	532	338
611	532	337
612	533	336
613	533	335
614	534	334
615	534	333
616	535	332
617	536	331
618	536	330
619	537	329
620	537	328
621	538	327
622	538	326
623	539	324
624	539	323
625	540	322
626	540	321
627	541	320
628	541	319
629	542	318
630	543	317
631	543	316
632	544	315
633	544	314
634	545	313
635	545	312
636	546	311
637	546	310
638	547	309
639	547	308
640	548	307
641	549	306
642	549	305
643	550	304
644	551	303
645	551	302
646	552	301
647	552	300
648	553	299
649	553	298
650	554	297
651	555	296
652	555	295
653	556	294
654	556	293
655	557	292
656	557	291
657	558	290
658	558	289
659	559	288
660	559	287
661	560	286
662	560	285
663	561	284
664	561	282
665	562	281
666	562	280
667	563	280
668	564	279
669	564	278
670	565	277
671	566	276
672	566	275
673	567	274
674	567	273
675	568	272
676	569	271
677	569	270
678	570	269
679	570	268
680	571	267
681	571	266
682	572	265
683	572	264
684	573	263
685	573	262
686	574	261
687	575	260
688	575	259
689	576	258
690	576	257
691	577	257
692	578	256
693	578	255
